Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Active,WHO Region
Australian Capital Territory,Australia,-35.4735,149.0124,22-01-2020,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,22-01-2020,0,0,0,0,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,22-01-2020,0,0,0,0,Western Pacific
Queensland,Australia,-28.0167,153.4,22-01-2020,0,0,0,0,Western Pacific
South Australia,Australia,-34.9285,138.6007,22-01-2020,0,0,0,0,Western Pacific
Tasmania,Australia,-41.4545,145.9707,22-01-2020,0,0,0,0,Western Pacific
Victoria,Australia,-37.8136,144.9631,22-01-2020,0,0,0,0,Western Pacific
Western Australia,Australia,-31.9505,115.8605,22-01-2020,0,0,0,0,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,23-01-2020,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,23-01-2020,0,0,0,0,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,23-01-2020,0,0,0,0,Western Pacific
Queensland,Australia,-28.0167,153.4,23-01-2020,0,0,0,0,Western Pacific
South Australia,Australia,-34.9285,138.6007,23-01-2020,0,0,0,0,Western Pacific
Tasmania,Australia,-41.4545,145.9707,23-01-2020,0,0,0,0,Western Pacific
Victoria,Australia,-37.8136,144.9631,23-01-2020,0,0,0,0,Western Pacific
Western Australia,Australia,-31.9505,115.8605,23-01-2020,0,0,0,0,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,24-01-2020,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,24-01-2020,0,0,0,0,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,24-01-2020,0,0,0,0,Western Pacific
Queensland,Australia,-28.0167,153.4,24-01-2020,0,0,0,0,Western Pacific
South Australia,Australia,-34.9285,138.6007,24-01-2020,0,0,0,0,Western Pacific
Tasmania,Australia,-41.4545,145.9707,24-01-2020,0,0,0,0,Western Pacific
Victoria,Australia,-37.8136,144.9631,24-01-2020,0,0,0,0,Western Pacific
Western Australia,Australia,-31.9505,115.8605,24-01-2020,0,0,0,0,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,25-01-2020,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,25-01-2020,0,0,0,0,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,25-01-2020,0,0,0,0,Western Pacific
Queensland,Australia,-28.0167,153.4,25-01-2020,0,0,0,0,Western Pacific
South Australia,Australia,-34.9285,138.6007,25-01-2020,0,0,0,0,Western Pacific
Tasmania,Australia,-41.4545,145.9707,25-01-2020,0,0,0,0,Western Pacific
Victoria,Australia,-37.8136,144.9631,25-01-2020,0,0,0,0,Western Pacific
Western Australia,Australia,-31.9505,115.8605,25-01-2020,0,0,0,0,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,26-01-2020,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,26-01-2020,3,0,0,3,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,26-01-2020,0,0,0,0,Western Pacific
Queensland,Australia,-28.0167,153.4,26-01-2020,0,0,0,0,Western Pacific
South Australia,Australia,-34.9285,138.6007,26-01-2020,0,0,0,0,Western Pacific
Tasmania,Australia,-41.4545,145.9707,26-01-2020,0,0,0,0,Western Pacific
Victoria,Australia,-37.8136,144.9631,26-01-2020,1,0,0,1,Western Pacific
Western Australia,Australia,-31.9505,115.8605,26-01-2020,0,0,0,0,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,27-01-2020,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,27-01-2020,4,0,0,4,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,27-01-2020,0,0,0,0,Western Pacific
Queensland,Australia,-28.0167,153.4,27-01-2020,0,0,0,0,Western Pacific
South Australia,Australia,-34.9285,138.6007,27-01-2020,0,0,0,0,Western Pacific
Tasmania,Australia,-41.4545,145.9707,27-01-2020,0,0,0,0,Western Pacific
Victoria,Australia,-37.8136,144.9631,27-01-2020,1,0,0,1,Western Pacific
Western Australia,Australia,-31.9505,115.8605,27-01-2020,0,0,0,0,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,28-01-2020,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,28-01-2020,4,0,0,4,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,28-01-2020,0,0,0,0,Western Pacific
Queensland,Australia,-28.0167,153.4,28-01-2020,0,0,0,0,Western Pacific
South Australia,Australia,-34.9285,138.6007,28-01-2020,0,0,0,0,Western Pacific
Tasmania,Australia,-41.4545,145.9707,28-01-2020,0,0,0,0,Western Pacific
Victoria,Australia,-37.8136,144.9631,28-01-2020,1,0,0,1,Western Pacific
Western Australia,Australia,-31.9505,115.8605,28-01-2020,0,0,0,0,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,29-01-2020,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,29-01-2020,4,0,0,4,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,29-01-2020,0,0,0,0,Western Pacific
Queensland,Australia,-28.0167,153.4,29-01-2020,1,0,0,1,Western Pacific
South Australia,Australia,-34.9285,138.6007,29-01-2020,0,0,0,0,Western Pacific
Tasmania,Australia,-41.4545,145.9707,29-01-2020,0,0,0,0,Western Pacific
Victoria,Australia,-37.8136,144.9631,29-01-2020,1,0,0,1,Western Pacific
Western Australia,Australia,-31.9505,115.8605,29-01-2020,0,0,0,0,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,30-01-2020,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,30-01-2020,4,0,2,2,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,30-01-2020,0,0,0,0,Western Pacific
Queensland,Australia,-28.0167,153.4,30-01-2020,3,0,0,3,Western Pacific
South Australia,Australia,-34.9285,138.6007,30-01-2020,0,0,0,0,Western Pacific
Tasmania,Australia,-41.4545,145.9707,30-01-2020,0,0,0,0,Western Pacific
Victoria,Australia,-37.8136,144.9631,30-01-2020,2,0,0,2,Western Pacific
Western Australia,Australia,-31.9505,115.8605,30-01-2020,0,0,0,0,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,31-01-2020,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,31-01-2020,4,0,2,2,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,31-01-2020,0,0,0,0,Western Pacific
Queensland,Australia,-28.0167,153.4,31-01-2020,2,0,0,2,Western Pacific
South Australia,Australia,-34.9285,138.6007,31-01-2020,0,0,0,0,Western Pacific
Tasmania,Australia,-41.4545,145.9707,31-01-2020,0,0,0,0,Western Pacific
Victoria,Australia,-37.8136,144.9631,31-01-2020,3,0,0,3,Western Pacific
Western Australia,Australia,-31.9505,115.8605,31-01-2020,0,0,0,0,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,01-02-2020,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,01-02-2020,4,0,2,2,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,01-02-2020,0,0,0,0,Western Pacific
Queensland,Australia,-28.0167,153.4,01-02-2020,3,0,0,3,Western Pacific
South Australia,Australia,-34.9285,138.6007,01-02-2020,1,0,0,1,Western Pacific
Tasmania,Australia,-41.4545,145.9707,01-02-2020,0,0,0,0,Western Pacific
Victoria,Australia,-37.8136,144.9631,01-02-2020,4,0,0,4,Western Pacific
Western Australia,Australia,-31.9505,115.8605,01-02-2020,0,0,0,0,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,02-02-2020,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,02-02-2020,4,0,2,2,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,02-02-2020,0,0,0,0,Western Pacific
Queensland,Australia,-28.0167,153.4,02-02-2020,2,0,0,2,Western Pacific
South Australia,Australia,-34.9285,138.6007,02-02-2020,2,0,0,2,Western Pacific
Tasmania,Australia,-41.4545,145.9707,02-02-2020,0,0,0,0,Western Pacific
Victoria,Australia,-37.8136,144.9631,02-02-2020,4,0,0,4,Western Pacific
Western Australia,Australia,-31.9505,115.8605,02-02-2020,0,0,0,0,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,03-02-2020,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,03-02-2020,4,0,2,2,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,03-02-2020,0,0,0,0,Western Pacific
Queensland,Australia,-28.0167,153.4,03-02-2020,2,0,0,2,Western Pacific
South Australia,Australia,-34.9285,138.6007,03-02-2020,2,0,0,2,Western Pacific
Tasmania,Australia,-41.4545,145.9707,03-02-2020,0,0,0,0,Western Pacific
Victoria,Australia,-37.8136,144.9631,03-02-2020,4,0,0,4,Western Pacific
Western Australia,Australia,-31.9505,115.8605,03-02-2020,0,0,0,0,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,04-02-2020,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,04-02-2020,4,0,2,2,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,04-02-2020,0,0,0,0,Western Pacific
Queensland,Australia,-28.0167,153.4,04-02-2020,3,0,0,3,Western Pacific
South Australia,Australia,-34.9285,138.6007,04-02-2020,2,0,0,2,Western Pacific
Tasmania,Australia,-41.4545,145.9707,04-02-2020,0,0,0,0,Western Pacific
Victoria,Australia,-37.8136,144.9631,04-02-2020,4,0,0,4,Western Pacific
Western Australia,Australia,-31.9505,115.8605,04-02-2020,0,0,0,0,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,05-02-2020,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,05-02-2020,4,0,2,2,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,05-02-2020,0,0,0,0,Western Pacific
Queensland,Australia,-28.0167,153.4,05-02-2020,3,0,0,3,Western Pacific
South Australia,Australia,-34.9285,138.6007,05-02-2020,2,0,0,2,Western Pacific
Tasmania,Australia,-41.4545,145.9707,05-02-2020,0,0,0,0,Western Pacific
Victoria,Australia,-37.8136,144.9631,05-02-2020,4,0,0,4,Western Pacific
Western Australia,Australia,-31.9505,115.8605,05-02-2020,0,0,0,0,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,06-02-2020,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,06-02-2020,4,0,2,2,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,06-02-2020,0,0,0,0,Western Pacific
Queensland,Australia,-28.0167,153.4,06-02-2020,4,0,0,4,Western Pacific
South Australia,Australia,-34.9285,138.6007,06-02-2020,2,0,0,2,Western Pacific
Tasmania,Australia,-41.4545,145.9707,06-02-2020,0,0,0,0,Western Pacific
Victoria,Australia,-37.8136,144.9631,06-02-2020,4,0,0,4,Western Pacific
Western Australia,Australia,-31.9505,115.8605,06-02-2020,0,0,0,0,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,07-02-2020,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,07-02-2020,4,0,2,2,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,07-02-2020,0,0,0,0,Western Pacific
Queensland,Australia,-28.0167,153.4,07-02-2020,5,0,0,5,Western Pacific
South Australia,Australia,-34.9285,138.6007,07-02-2020,2,0,0,2,Western Pacific
Tasmania,Australia,-41.4545,145.9707,07-02-2020,0,0,0,0,Western Pacific
Victoria,Australia,-37.8136,144.9631,07-02-2020,4,0,0,4,Western Pacific
Western Australia,Australia,-31.9505,115.8605,07-02-2020,0,0,0,0,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,08-02-2020,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,08-02-2020,4,0,2,2,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,08-02-2020,0,0,0,0,Western Pacific
Queensland,Australia,-28.0167,153.4,08-02-2020,5,0,0,5,Western Pacific
South Australia,Australia,-34.9285,138.6007,08-02-2020,2,0,0,2,Western Pacific
Tasmania,Australia,-41.4545,145.9707,08-02-2020,0,0,0,0,Western Pacific
Victoria,Australia,-37.8136,144.9631,08-02-2020,4,0,0,4,Western Pacific
Western Australia,Australia,-31.9505,115.8605,08-02-2020,0,0,0,0,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,09-02-2020,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,09-02-2020,4,0,2,2,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,09-02-2020,0,0,0,0,Western Pacific
Queensland,Australia,-28.0167,153.4,09-02-2020,5,0,0,5,Western Pacific
South Australia,Australia,-34.9285,138.6007,09-02-2020,2,0,0,2,Western Pacific
Tasmania,Australia,-41.4545,145.9707,09-02-2020,0,0,0,0,Western Pacific
Victoria,Australia,-37.8136,144.9631,09-02-2020,4,0,0,4,Western Pacific
Western Australia,Australia,-31.9505,115.8605,09-02-2020,0,0,0,0,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,10-02-2020,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,10-02-2020,4,0,2,2,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,10-02-2020,0,0,0,0,Western Pacific
Queensland,Australia,-28.0167,153.4,10-02-2020,5,0,0,5,Western Pacific
South Australia,Australia,-34.9285,138.6007,10-02-2020,2,0,0,2,Western Pacific
Tasmania,Australia,-41.4545,145.9707,10-02-2020,0,0,0,0,Western Pacific
Victoria,Australia,-37.8136,144.9631,10-02-2020,4,0,0,4,Western Pacific
Western Australia,Australia,-31.9505,115.8605,10-02-2020,0,0,0,0,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,11-02-2020,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,11-02-2020,4,0,2,2,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,11-02-2020,0,0,0,0,Western Pacific
Queensland,Australia,-28.0167,153.4,11-02-2020,5,0,0,5,Western Pacific
South Australia,Australia,-34.9285,138.6007,11-02-2020,2,0,0,2,Western Pacific
Tasmania,Australia,-41.4545,145.9707,11-02-2020,0,0,0,0,Western Pacific
Victoria,Australia,-37.8136,144.9631,11-02-2020,4,0,0,4,Western Pacific
Western Australia,Australia,-31.9505,115.8605,11-02-2020,0,0,0,0,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,12-02-2020,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,12-02-2020,4,0,2,2,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,12-02-2020,0,0,0,0,Western Pacific
Queensland,Australia,-28.0167,153.4,12-02-2020,5,0,0,5,Western Pacific
South Australia,Australia,-34.9285,138.6007,12-02-2020,2,0,0,2,Western Pacific
Tasmania,Australia,-41.4545,145.9707,12-02-2020,0,0,0,0,Western Pacific
Victoria,Australia,-37.8136,144.9631,12-02-2020,4,0,0,4,Western Pacific
Western Australia,Australia,-31.9505,115.8605,12-02-2020,0,0,0,0,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,13-02-2020,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,13-02-2020,4,0,4,0,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,13-02-2020,0,0,0,0,Western Pacific
Queensland,Australia,-28.0167,153.4,13-02-2020,5,0,0,5,Western Pacific
South Australia,Australia,-34.9285,138.6007,13-02-2020,2,0,0,2,Western Pacific
Tasmania,Australia,-41.4545,145.9707,13-02-2020,0,0,0,0,Western Pacific
Victoria,Australia,-37.8136,144.9631,13-02-2020,4,0,4,0,Western Pacific
Western Australia,Australia,-31.9505,115.8605,13-02-2020,0,0,0,0,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,14-02-2020,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,14-02-2020,4,0,4,0,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,14-02-2020,0,0,0,0,Western Pacific
Queensland,Australia,-28.0167,153.4,14-02-2020,5,0,0,5,Western Pacific
South Australia,Australia,-34.9285,138.6007,14-02-2020,2,0,0,2,Western Pacific
Tasmania,Australia,-41.4545,145.9707,14-02-2020,0,0,0,0,Western Pacific
Victoria,Australia,-37.8136,144.9631,14-02-2020,4,0,4,0,Western Pacific
Western Australia,Australia,-31.9505,115.8605,14-02-2020,0,0,0,0,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,15-02-2020,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,15-02-2020,4,0,4,0,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,15-02-2020,0,0,0,0,Western Pacific
Queensland,Australia,-28.0167,153.4,15-02-2020,5,0,0,5,Western Pacific
South Australia,Australia,-34.9285,138.6007,15-02-2020,2,0,0,2,Western Pacific
Tasmania,Australia,-41.4545,145.9707,15-02-2020,0,0,0,0,Western Pacific
Victoria,Australia,-37.8136,144.9631,15-02-2020,4,0,4,0,Western Pacific
Western Australia,Australia,-31.9505,115.8605,15-02-2020,0,0,0,0,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,16-02-2020,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,16-02-2020,4,0,4,0,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,16-02-2020,0,0,0,0,Western Pacific
Queensland,Australia,-28.0167,153.4,16-02-2020,5,0,0,5,Western Pacific
South Australia,Australia,-34.9285,138.6007,16-02-2020,2,0,0,2,Western Pacific
Tasmania,Australia,-41.4545,145.9707,16-02-2020,0,0,0,0,Western Pacific
Victoria,Australia,-37.8136,144.9631,16-02-2020,4,0,4,0,Western Pacific
Western Australia,Australia,-31.9505,115.8605,16-02-2020,0,0,0,0,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,17-02-2020,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,17-02-2020,4,0,4,0,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,17-02-2020,0,0,0,0,Western Pacific
Queensland,Australia,-28.0167,153.4,17-02-2020,5,0,0,5,Western Pacific
South Australia,Australia,-34.9285,138.6007,17-02-2020,2,0,2,0,Western Pacific
Tasmania,Australia,-41.4545,145.9707,17-02-2020,0,0,0,0,Western Pacific
Victoria,Australia,-37.8136,144.9631,17-02-2020,4,0,4,0,Western Pacific
Western Australia,Australia,-31.9505,115.8605,17-02-2020,0,0,0,0,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,18-02-2020,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,18-02-2020,4,0,4,0,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,18-02-2020,0,0,0,0,Western Pacific
Queensland,Australia,-28.0167,153.4,18-02-2020,5,0,0,5,Western Pacific
South Australia,Australia,-34.9285,138.6007,18-02-2020,2,0,2,0,Western Pacific
Tasmania,Australia,-41.4545,145.9707,18-02-2020,0,0,0,0,Western Pacific
Victoria,Australia,-37.8136,144.9631,18-02-2020,4,0,4,0,Western Pacific
Western Australia,Australia,-31.9505,115.8605,18-02-2020,0,0,0,0,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,19-02-2020,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,19-02-2020,4,0,4,0,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,19-02-2020,0,0,0,0,Western Pacific
Queensland,Australia,-28.0167,153.4,19-02-2020,5,0,0,5,Western Pacific
South Australia,Australia,-34.9285,138.6007,19-02-2020,2,0,2,0,Western Pacific
Tasmania,Australia,-41.4545,145.9707,19-02-2020,0,0,0,0,Western Pacific
Victoria,Australia,-37.8136,144.9631,19-02-2020,4,0,4,0,Western Pacific
Western Australia,Australia,-31.9505,115.8605,19-02-2020,0,0,0,0,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,20-02-2020,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,20-02-2020,4,0,4,0,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,20-02-2020,0,0,0,0,Western Pacific
Queensland,Australia,-28.0167,153.4,20-02-2020,5,0,0,5,Western Pacific
South Australia,Australia,-34.9285,138.6007,20-02-2020,2,0,2,0,Western Pacific
Tasmania,Australia,-41.4545,145.9707,20-02-2020,0,0,0,0,Western Pacific
Victoria,Australia,-37.8136,144.9631,20-02-2020,4,0,4,0,Western Pacific
Western Australia,Australia,-31.9505,115.8605,20-02-2020,0,0,0,0,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,21-02-2020,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,21-02-2020,4,0,4,0,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,21-02-2020,0,0,0,0,Western Pacific
Queensland,Australia,-28.0167,153.4,21-02-2020,5,0,1,4,Western Pacific
South Australia,Australia,-34.9285,138.6007,21-02-2020,2,0,2,0,Western Pacific
Tasmania,Australia,-41.4545,145.9707,21-02-2020,0,0,0,0,Western Pacific
Victoria,Australia,-37.8136,144.9631,21-02-2020,4,0,4,0,Western Pacific
Western Australia,Australia,-31.9505,115.8605,21-02-2020,0,0,0,0,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,22-02-2020,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,22-02-2020,4,0,4,0,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,22-02-2020,0,0,0,0,Western Pacific
Queensland,Australia,-28.0167,153.4,22-02-2020,5,0,1,4,Western Pacific
South Australia,Australia,-34.9285,138.6007,22-02-2020,2,0,2,0,Western Pacific
Tasmania,Australia,-41.4545,145.9707,22-02-2020,0,0,0,0,Western Pacific
Victoria,Australia,-37.8136,144.9631,22-02-2020,4,0,4,0,Western Pacific
Western Australia,Australia,-31.9505,115.8605,22-02-2020,0,0,0,0,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,23-02-2020,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,23-02-2020,4,0,4,0,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,23-02-2020,0,0,0,0,Western Pacific
Queensland,Australia,-28.0167,153.4,23-02-2020,5,0,1,4,Western Pacific
South Australia,Australia,-34.9285,138.6007,23-02-2020,2,0,2,0,Western Pacific
Tasmania,Australia,-41.4545,145.9707,23-02-2020,0,0,0,0,Western Pacific
Victoria,Australia,-37.8136,144.9631,23-02-2020,4,0,4,0,Western Pacific
Western Australia,Australia,-31.9505,115.8605,23-02-2020,0,0,0,0,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,24-02-2020,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,24-02-2020,4,0,4,0,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,24-02-2020,0,0,0,0,Western Pacific
Queensland,Australia,-28.0167,153.4,24-02-2020,5,0,1,4,Western Pacific
South Australia,Australia,-34.9285,138.6007,24-02-2020,2,0,2,0,Western Pacific
Tasmania,Australia,-41.4545,145.9707,24-02-2020,0,0,0,0,Western Pacific
Victoria,Australia,-37.8136,144.9631,24-02-2020,4,0,4,0,Western Pacific
Western Australia,Australia,-31.9505,115.8605,24-02-2020,0,0,0,0,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,25-02-2020,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,25-02-2020,4,0,4,0,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,25-02-2020,0,0,0,0,Western Pacific
Queensland,Australia,-28.0167,153.4,25-02-2020,5,0,1,4,Western Pacific
South Australia,Australia,-34.9285,138.6007,25-02-2020,2,0,2,0,Western Pacific
Tasmania,Australia,-41.4545,145.9707,25-02-2020,0,0,0,0,Western Pacific
Victoria,Australia,-37.8136,144.9631,25-02-2020,4,0,4,0,Western Pacific
Western Australia,Australia,-31.9505,115.8605,25-02-2020,0,0,0,0,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,26-02-2020,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,26-02-2020,4,0,4,0,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,26-02-2020,0,0,0,0,Western Pacific
Queensland,Australia,-28.0167,153.4,26-02-2020,5,0,1,4,Western Pacific
South Australia,Australia,-34.9285,138.6007,26-02-2020,2,0,2,0,Western Pacific
Tasmania,Australia,-41.4545,145.9707,26-02-2020,0,0,0,0,Western Pacific
Victoria,Australia,-37.8136,144.9631,26-02-2020,4,0,4,0,Western Pacific
Western Australia,Australia,-31.9505,115.8605,26-02-2020,0,0,0,0,Western Pacific
