Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Active,WHO Region
Australian Capital Territory,Australia,-35.4735,149.0124,27-02-2020,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,27-02-2020,4,0,4,0,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,27-02-2020,0,0,0,0,Western Pacific
Queensland,Australia,-28.0167,153.4,27-02-2020,5,0,1,4,Western Pacific
South Australia,Australia,-34.9285,138.6007,27-02-2020,2,0,2,0,Western Pacific
Tasmania,Australia,-41.4545,145.9707,27-02-2020,0,0,0,0,Western Pacific
Victoria,Australia,-37.8136,144.9631,27-02-2020,4,0,4,0,Western Pacific
Western Australia,Australia,-31.9505,115.8605,27-02-2020,0,0,0,0,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,28-02-2020,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,28-02-2020,4,0,4,0,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,28-02-2020,0,0,0,0,Western Pacific
Queensland,Australia,-28.0167,153.4,28-02-2020,5,0,1,4,Western Pacific
South Australia,Australia,-34.9285,138.6007,28-02-2020,2,0,2,0,Western Pacific
Tasmania,Australia,-41.4545,145.9707,28-02-2020,0,0,0,0,Western Pacific
Victoria,Australia,-37.8136,144.9631,28-02-2020,4,0,4,0,Western Pacific
Western Australia,Australia,-31.9505,115.8605,28-02-2020,0,0,0,0,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,29-02-2020,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,29-02-2020,4,0,4,0,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,29-02-2020,0,0,0,0,Western Pacific
Queensland,Australia,-28.0167,153.4,29-02-2020,9,0,1,8,Western Pacific
South Australia,Australia,-34.9285,138.6007,29-02-2020,3,0,2,1,Western Pacific
Tasmania,Australia,-41.4545,145.9707,29-02-2020,0,0,0,0,Western Pacific
Victoria,Australia,-37.8136,144.9631,29-02-2020,7,0,4,3,Western Pacific
Western Australia,Australia,-31.9505,115.8605,29-02-2020,2,0,0,2,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,01-03-2020,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,01-03-2020,6,0,4,2,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,01-03-2020,0,0,0,0,Western Pacific
Queensland,Australia,-28.0167,153.4,01-03-2020,9,0,1,8,Western Pacific
South Australia,Australia,-34.9285,138.6007,01-03-2020,3,0,2,1,Western Pacific
Tasmania,Australia,-41.4545,145.9707,01-03-2020,0,0,0,0,Western Pacific
Victoria,Australia,-37.8136,144.9631,01-03-2020,7,0,4,3,Western Pacific
Western Australia,Australia,-31.9505,115.8605,01-03-2020,2,1,0,1,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,02-03-2020,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,02-03-2020,6,0,4,2,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,02-03-2020,0,0,0,0,Western Pacific
Queensland,Australia,-28.0167,153.4,02-03-2020,9,0,1,8,Western Pacific
South Australia,Australia,-34.9285,138.6007,02-03-2020,3,0,2,1,Western Pacific
Tasmania,Australia,-41.4545,145.9707,02-03-2020,1,0,0,1,Western Pacific
Victoria,Australia,-37.8136,144.9631,02-03-2020,9,0,4,5,Western Pacific
Western Australia,Australia,-31.9505,115.8605,02-03-2020,2,1,0,1,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,03-03-2020,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,03-03-2020,13,0,4,9,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,03-03-2020,0,0,0,0,Western Pacific
Queensland,Australia,-28.0167,153.4,03-03-2020,11,0,1,10,Western Pacific
South Australia,Australia,-34.9285,138.6007,03-03-2020,3,0,2,1,Western Pacific
Tasmania,Australia,-41.4545,145.9707,03-03-2020,1,0,0,1,Western Pacific
Victoria,Australia,-37.8136,144.9631,03-03-2020,9,0,4,5,Western Pacific
Western Australia,Australia,-31.9505,115.8605,03-03-2020,2,1,0,1,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,04-03-2020,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,04-03-2020,22,1,4,17,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,04-03-2020,1,0,0,1,Western Pacific
Queensland,Australia,-28.0167,153.4,04-03-2020,11,0,1,10,Western Pacific
South Australia,Australia,-34.9285,138.6007,04-03-2020,5,0,2,3,Western Pacific
Tasmania,Australia,-41.4545,145.9707,04-03-2020,1,0,0,1,Western Pacific
Victoria,Australia,-37.8136,144.9631,04-03-2020,10,0,4,6,Western Pacific
Western Australia,Australia,-31.9505,115.8605,04-03-2020,2,1,0,1,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,05-03-2020,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,05-03-2020,22,1,4,17,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,05-03-2020,1,0,0,1,Western Pacific
Queensland,Australia,-28.0167,153.4,05-03-2020,13,0,8,5,Western Pacific
South Australia,Australia,-34.9285,138.6007,05-03-2020,5,0,2,3,Western Pacific
Tasmania,Australia,-41.4545,145.9707,05-03-2020,1,0,0,1,Western Pacific
Victoria,Australia,-37.8136,144.9631,05-03-2020,10,0,7,3,Western Pacific
Western Australia,Australia,-31.9505,115.8605,05-03-2020,3,1,0,2,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,06-03-2020,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,06-03-2020,26,1,4,21,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,06-03-2020,0,0,0,0,Western Pacific
Queensland,Australia,-28.0167,153.4,06-03-2020,13,0,8,5,Western Pacific
South Australia,Australia,-34.9285,138.6007,06-03-2020,7,0,2,5,Western Pacific
Tasmania,Australia,-41.4545,145.9707,06-03-2020,1,0,0,1,Western Pacific
Victoria,Australia,-37.8136,144.9631,06-03-2020,10,0,7,3,Western Pacific
Western Australia,Australia,-31.9505,115.8605,06-03-2020,3,1,0,2,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,07-03-2020,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,07-03-2020,28,1,4,23,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,07-03-2020,0,0,0,0,Western Pacific
Queensland,Australia,-28.0167,153.4,07-03-2020,13,0,8,5,Western Pacific
South Australia,Australia,-34.9285,138.6007,07-03-2020,7,0,2,5,Western Pacific
Tasmania,Australia,-41.4545,145.9707,07-03-2020,1,0,0,1,Western Pacific
Victoria,Australia,-37.8136,144.9631,07-03-2020,11,0,7,4,Western Pacific
Western Australia,Australia,-31.9505,115.8605,07-03-2020,3,1,0,2,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,08-03-2020,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,08-03-2020,38,2,4,32,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,08-03-2020,0,0,0,0,Western Pacific
Queensland,Australia,-28.0167,153.4,08-03-2020,15,0,8,7,Western Pacific
South Australia,Australia,-34.9285,138.6007,08-03-2020,7,0,2,5,Western Pacific
Tasmania,Australia,-41.4545,145.9707,08-03-2020,2,0,0,2,Western Pacific
Victoria,Australia,-37.8136,144.9631,08-03-2020,11,0,7,4,Western Pacific
Western Australia,Australia,-31.9505,115.8605,08-03-2020,3,1,0,2,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,09-03-2020,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,09-03-2020,48,2,4,42,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,09-03-2020,0,0,0,0,Western Pacific
Queensland,Australia,-28.0167,153.4,09-03-2020,15,0,8,7,Western Pacific
South Australia,Australia,-34.9285,138.6007,09-03-2020,7,0,2,5,Western Pacific
Tasmania,Australia,-41.4545,145.9707,09-03-2020,2,0,0,2,Western Pacific
Victoria,Australia,-37.8136,144.9631,09-03-2020,15,0,7,8,Western Pacific
Western Australia,Australia,-31.9505,115.8605,09-03-2020,4,1,0,3,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,10-03-2020,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,10-03-2020,55,2,4,49,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,10-03-2020,1,0,0,1,Western Pacific
Queensland,Australia,-28.0167,153.4,10-03-2020,18,0,8,10,Western Pacific
South Australia,Australia,-34.9285,138.6007,10-03-2020,7,0,2,5,Western Pacific
Tasmania,Australia,-41.4545,145.9707,10-03-2020,2,0,0,2,Western Pacific
Victoria,Australia,-37.8136,144.9631,10-03-2020,18,0,7,11,Western Pacific
Western Australia,Australia,-31.9505,115.8605,10-03-2020,6,1,0,5,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,11-03-2020,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,11-03-2020,65,2,4,59,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,11-03-2020,1,0,0,1,Western Pacific
Queensland,Australia,-28.0167,153.4,11-03-2020,20,0,8,12,Western Pacific
South Australia,Australia,-34.9285,138.6007,11-03-2020,9,0,2,7,Western Pacific
Tasmania,Australia,-41.4545,145.9707,11-03-2020,3,0,0,3,Western Pacific
Victoria,Australia,-37.8136,144.9631,11-03-2020,21,0,7,14,Western Pacific
Western Australia,Australia,-31.9505,115.8605,11-03-2020,9,1,0,8,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,12-03-2020,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,12-03-2020,65,2,4,59,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,12-03-2020,1,0,0,1,Western Pacific
Queensland,Australia,-28.0167,153.4,12-03-2020,20,0,8,12,Western Pacific
South Australia,Australia,-34.9285,138.6007,12-03-2020,9,0,2,7,Western Pacific
Tasmania,Australia,-41.4545,145.9707,12-03-2020,3,0,0,3,Western Pacific
Victoria,Australia,-37.8136,144.9631,12-03-2020,21,0,7,14,Western Pacific
Western Australia,Australia,-31.9505,115.8605,12-03-2020,9,1,0,8,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,13-03-2020,1,0,0,1,Western Pacific
New South Wales,Australia,-33.8688,151.2093,13-03-2020,92,2,4,86,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,13-03-2020,1,0,0,1,Western Pacific
Queensland,Australia,-28.0167,153.4,13-03-2020,35,0,8,27,Western Pacific
South Australia,Australia,-34.9285,138.6007,13-03-2020,16,0,3,13,Western Pacific
Tasmania,Australia,-41.4545,145.9707,13-03-2020,5,0,0,5,Western Pacific
Victoria,Australia,-37.8136,144.9631,13-03-2020,36,0,8,28,Western Pacific
Western Australia,Australia,-31.9505,115.8605,13-03-2020,14,1,0,13,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,14-03-2020,1,0,0,1,Western Pacific
New South Wales,Australia,-33.8688,151.2093,14-03-2020,112,2,4,106,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,14-03-2020,1,0,0,1,Western Pacific
Queensland,Australia,-28.0167,153.4,14-03-2020,46,0,8,38,Western Pacific
South Australia,Australia,-34.9285,138.6007,14-03-2020,19,0,3,16,Western Pacific
Tasmania,Australia,-41.4545,145.9707,14-03-2020,5,0,0,5,Western Pacific
Victoria,Australia,-37.8136,144.9631,14-03-2020,49,0,8,41,Western Pacific
Western Australia,Australia,-31.9505,115.8605,14-03-2020,17,1,0,16,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,15-03-2020,1,0,0,1,Western Pacific
New South Wales,Australia,-33.8688,151.2093,15-03-2020,134,2,4,128,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,15-03-2020,1,0,0,1,Western Pacific
Queensland,Australia,-28.0167,153.4,15-03-2020,61,0,8,53,Western Pacific
South Australia,Australia,-34.9285,138.6007,15-03-2020,20,0,3,17,Western Pacific
Tasmania,Australia,-41.4545,145.9707,15-03-2020,6,0,0,6,Western Pacific
Victoria,Australia,-37.8136,144.9631,15-03-2020,57,0,8,49,Western Pacific
Western Australia,Australia,-31.9505,115.8605,15-03-2020,17,1,0,16,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,16-03-2020,2,0,0,2,Western Pacific
New South Wales,Australia,-33.8688,151.2093,16-03-2020,171,2,4,165,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,16-03-2020,1,0,0,1,Western Pacific
Queensland,Australia,-28.0167,153.4,16-03-2020,68,0,8,60,Western Pacific
South Australia,Australia,-34.9285,138.6007,16-03-2020,29,0,3,26,Western Pacific
Tasmania,Australia,-41.4545,145.9707,16-03-2020,7,0,0,7,Western Pacific
Victoria,Australia,-37.8136,144.9631,16-03-2020,71,0,8,63,Western Pacific
Western Australia,Australia,-31.9505,115.8605,16-03-2020,28,1,0,27,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,17-03-2020,2,0,0,2,Western Pacific
New South Wales,Australia,-33.8688,151.2093,17-03-2020,210,4,4,202,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,17-03-2020,1,0,0,1,Western Pacific
Queensland,Australia,-28.0167,153.4,17-03-2020,78,0,8,70,Western Pacific
South Australia,Australia,-34.9285,138.6007,17-03-2020,29,0,3,26,Western Pacific
Tasmania,Australia,-41.4545,145.9707,17-03-2020,7,0,0,7,Western Pacific
Victoria,Australia,-37.8136,144.9631,17-03-2020,94,0,8,86,Western Pacific
Western Australia,Australia,-31.9505,115.8605,17-03-2020,31,1,0,30,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,18-03-2020,3,0,0,3,Western Pacific
New South Wales,Australia,-33.8688,151.2093,18-03-2020,267,5,4,258,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,18-03-2020,1,0,0,1,Western Pacific
Queensland,Australia,-28.0167,153.4,18-03-2020,94,0,8,86,Western Pacific
South Australia,Australia,-34.9285,138.6007,18-03-2020,37,0,3,34,Western Pacific
Tasmania,Australia,-41.4545,145.9707,18-03-2020,10,0,0,10,Western Pacific
Victoria,Australia,-37.8136,144.9631,18-03-2020,121,0,8,113,Western Pacific
Western Australia,Australia,-31.9505,115.8605,18-03-2020,35,1,0,34,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,19-03-2020,4,0,0,4,Western Pacific
New South Wales,Australia,-33.8688,151.2093,19-03-2020,307,5,4,298,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,19-03-2020,1,0,0,1,Western Pacific
Queensland,Australia,-28.0167,153.4,19-03-2020,144,0,8,136,Western Pacific
South Australia,Australia,-34.9285,138.6007,19-03-2020,42,0,3,39,Western Pacific
Tasmania,Australia,-41.4545,145.9707,19-03-2020,10,0,3,7,Western Pacific
Victoria,Australia,-37.8136,144.9631,19-03-2020,121,0,8,113,Western Pacific
Western Australia,Australia,-31.9505,115.8605,19-03-2020,52,1,0,51,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,20-03-2020,6,0,0,6,Western Pacific
New South Wales,Australia,-33.8688,151.2093,20-03-2020,353,6,4,343,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,20-03-2020,3,0,0,3,Western Pacific
Queensland,Australia,-28.0167,153.4,20-03-2020,184,0,8,176,Western Pacific
South Australia,Australia,-34.9285,138.6007,20-03-2020,50,0,3,47,Western Pacific
Tasmania,Australia,-41.4545,145.9707,20-03-2020,10,0,3,7,Western Pacific
Victoria,Australia,-37.8136,144.9631,20-03-2020,121,0,8,113,Western Pacific
Western Australia,Australia,-31.9505,115.8605,20-03-2020,64,1,0,63,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,21-03-2020,9,0,0,9,Western Pacific
New South Wales,Australia,-33.8688,151.2093,21-03-2020,436,6,4,426,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,21-03-2020,3,0,0,3,Western Pacific
Queensland,Australia,-28.0167,153.4,21-03-2020,221,0,8,213,Western Pacific
South Australia,Australia,-34.9285,138.6007,21-03-2020,67,0,3,64,Western Pacific
Tasmania,Australia,-41.4545,145.9707,21-03-2020,16,0,3,13,Western Pacific
Victoria,Australia,-37.8136,144.9631,21-03-2020,229,0,8,221,Western Pacific
Western Australia,Australia,-31.9505,115.8605,21-03-2020,90,1,0,89,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,22-03-2020,19,0,0,19,Western Pacific
New South Wales,Australia,-33.8688,151.2093,22-03-2020,669,6,4,659,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,22-03-2020,5,0,0,5,Western Pacific
Queensland,Australia,-28.0167,153.4,22-03-2020,259,0,8,251,Western Pacific
South Australia,Australia,-34.9285,138.6007,22-03-2020,100,0,3,97,Western Pacific
Tasmania,Australia,-41.4545,145.9707,22-03-2020,22,0,3,19,Western Pacific
Victoria,Australia,-37.8136,144.9631,22-03-2020,355,0,70,285,Western Pacific
Western Australia,Australia,-31.9505,115.8605,22-03-2020,120,1,0,119,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,23-03-2020,32,0,0,32,Western Pacific
New South Wales,Australia,-33.8688,151.2093,23-03-2020,669,6,4,659,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,23-03-2020,5,0,0,5,Western Pacific
Queensland,Australia,-28.0167,153.4,23-03-2020,319,0,8,311,Western Pacific
South Australia,Australia,-34.9285,138.6007,23-03-2020,134,0,3,131,Western Pacific
Tasmania,Australia,-41.4545,145.9707,23-03-2020,28,0,3,25,Western Pacific
Victoria,Australia,-37.8136,144.9631,23-03-2020,355,0,70,285,Western Pacific
Western Australia,Australia,-31.9505,115.8605,23-03-2020,140,1,0,139,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,24-03-2020,39,0,0,39,Western Pacific
New South Wales,Australia,-33.8688,151.2093,24-03-2020,818,7,4,807,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,24-03-2020,6,0,0,6,Western Pacific
Queensland,Australia,-28.0167,153.4,24-03-2020,397,0,8,389,Western Pacific
South Australia,Australia,-34.9285,138.6007,24-03-2020,170,0,3,167,Western Pacific
Tasmania,Australia,-41.4545,145.9707,24-03-2020,28,0,3,25,Western Pacific
Victoria,Australia,-37.8136,144.9631,24-03-2020,411,0,97,314,Western Pacific
Western Australia,Australia,-31.9505,115.8605,24-03-2020,175,1,0,174,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,25-03-2020,39,0,0,39,Western Pacific
New South Wales,Australia,-33.8688,151.2093,25-03-2020,1029,7,4,1018,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,25-03-2020,6,0,0,6,Western Pacific
Queensland,Australia,-28.0167,153.4,25-03-2020,443,0,8,435,Western Pacific
South Australia,Australia,-34.9285,138.6007,25-03-2020,170,0,6,164,Western Pacific
Tasmania,Australia,-41.4545,145.9707,25-03-2020,36,0,3,33,Western Pacific
Victoria,Australia,-37.8136,144.9631,25-03-2020,466,0,97,369,Western Pacific
Western Australia,Australia,-31.9505,115.8605,25-03-2020,175,1,1,173,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,26-03-2020,53,0,1,52,Western Pacific
New South Wales,Australia,-33.8688,151.2093,26-03-2020,1219,7,4,1208,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,26-03-2020,12,0,0,12,Western Pacific
Queensland,Australia,-28.0167,153.4,26-03-2020,493,1,8,484,Western Pacific
South Australia,Australia,-34.9285,138.6007,26-03-2020,235,0,6,229,Western Pacific
Tasmania,Australia,-41.4545,145.9707,26-03-2020,47,0,3,44,Western Pacific
Victoria,Australia,-37.8136,144.9631,26-03-2020,520,3,149,368,Western Pacific
Western Australia,Australia,-31.9505,115.8605,26-03-2020,231,2,1,228,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,27-03-2020,62,0,1,61,Western Pacific
New South Wales,Australia,-33.8688,151.2093,27-03-2020,1405,7,4,1394,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,27-03-2020,12,0,0,12,Western Pacific
Queensland,Australia,-28.0167,153.4,27-03-2020,555,1,8,546,Western Pacific
South Australia,Australia,-34.9285,138.6007,27-03-2020,257,0,6,251,Western Pacific
Tasmania,Australia,-41.4545,145.9707,27-03-2020,47,0,3,44,Western Pacific
Victoria,Australia,-37.8136,144.9631,27-03-2020,574,3,171,400,Western Pacific
Western Australia,Australia,-31.9505,115.8605,27-03-2020,231,2,1,228,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,28-03-2020,71,0,2,69,Western Pacific
New South Wales,Australia,-33.8688,151.2093,28-03-2020,1617,8,4,1605,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,28-03-2020,15,0,0,15,Western Pacific
Queensland,Australia,-28.0167,153.4,28-03-2020,625,1,8,616,Western Pacific
South Australia,Australia,-34.9285,138.6007,28-03-2020,287,0,6,281,Western Pacific
Tasmania,Australia,-41.4545,145.9707,28-03-2020,62,0,5,57,Western Pacific
Victoria,Australia,-37.8136,144.9631,28-03-2020,685,3,191,491,Western Pacific
Western Australia,Australia,-31.9505,115.8605,28-03-2020,278,2,28,248,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,29-03-2020,77,0,2,75,Western Pacific
New South Wales,Australia,-33.8688,151.2093,29-03-2020,1791,8,4,1779,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,29-03-2020,15,0,0,15,Western Pacific
Queensland,Australia,-28.0167,153.4,29-03-2020,656,2,8,646,Western Pacific
South Australia,Australia,-34.9285,138.6007,29-03-2020,299,0,6,293,Western Pacific
Tasmania,Australia,-41.4545,145.9707,29-03-2020,66,0,5,61,Western Pacific
Victoria,Australia,-37.8136,144.9631,29-03-2020,769,4,191,574,Western Pacific
Western Australia,Australia,-31.9505,115.8605,29-03-2020,311,2,28,281,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,30-03-2020,78,1,2,75,Western Pacific
New South Wales,Australia,-33.8688,151.2093,30-03-2020,2032,8,4,2020,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,30-03-2020,15,0,0,15,Western Pacific
Queensland,Australia,-28.0167,153.4,30-03-2020,689,2,8,679,Western Pacific
South Australia,Australia,-34.9285,138.6007,30-03-2020,305,0,6,299,Western Pacific
Tasmania,Australia,-41.4545,145.9707,30-03-2020,66,0,5,61,Western Pacific
Victoria,Australia,-37.8136,144.9631,30-03-2020,821,4,191,626,Western Pacific
Western Australia,Australia,-31.9505,115.8605,30-03-2020,355,2,41,312,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,31-03-2020,80,1,3,76,Western Pacific
New South Wales,Australia,-33.8688,151.2093,31-03-2020,2032,8,4,2020,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,31-03-2020,17,0,0,17,Western Pacific
Queensland,Australia,-28.0167,153.4,31-03-2020,743,2,8,733,Western Pacific
South Australia,Australia,-34.9285,138.6007,31-03-2020,337,0,6,331,Western Pacific
Tasmania,Australia,-41.4545,145.9707,31-03-2020,69,1,5,63,Western Pacific
Victoria,Australia,-37.8136,144.9631,31-03-2020,917,4,291,622,Western Pacific
Western Australia,Australia,-31.9505,115.8605,31-03-2020,364,2,41,321,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,01-04-2020,84,1,8,75,Western Pacific
New South Wales,Australia,-33.8688,151.2093,01-04-2020,2182,9,4,2169,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,01-04-2020,19,0,0,19,Western Pacific
Queensland,Australia,-28.0167,153.4,01-04-2020,781,2,8,771,Western Pacific
South Australia,Australia,-34.9285,138.6007,01-04-2020,367,0,6,361,Western Pacific
Tasmania,Australia,-41.4545,145.9707,01-04-2020,69,2,5,62,Western Pacific
Victoria,Australia,-37.8136,144.9631,01-04-2020,968,4,343,621,Western Pacific
Western Australia,Australia,-31.9505,115.8605,01-04-2020,392,2,48,342,Western Pacific
Australian Capital Territory,Australia,-35.4735,149.0124,02-04-2020,87,1,11,75,Western Pacific
New South Wales,Australia,-33.8688,151.2093,02-04-2020,2298,10,4,2284,Western Pacific
